seq_id,filename,subject_id,test_type,run,path,exists,ok,ndim,shape0_T,shape1_D,dtype,nan_count,inf_count,min_val,max_val,note
DCM_20_WalkData_3_clip,HSMR-DCM_20_WalkData_3_clip.npy,20,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_20_WalkData_3_clip.npy,True,True,2,141,46,float32,0,0,-3.141458511352539,3.140770673751831,
DCM_20_WalkData_4_clip,HSMR-DCM_20_WalkData_4_clip.npy,20,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_20_WalkData_4_clip.npy,True,True,2,119,46,float32,0,0,-3.1410155296325684,3.141069173812866,
DCM_20_WalkData_5_clip,HSMR-DCM_20_WalkData_5_clip.npy,20,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_20_WalkData_5_clip.npy,True,True,2,130,46,float32,0,0,-3.1410105228424072,3.1406328678131104,
DCM_21_FastWalkData_2_clip,HSMR-DCM_21_FastWalkData_2_clip.npy,21,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_FastWalkData_2_clip.npy,True,True,2,111,46,float32,0,0,-3.141580104827881,3.1408965587615967,
DCM_21_FastWalkData_3_clip,HSMR-DCM_21_FastWalkData_3_clip.npy,21,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_FastWalkData_3_clip.npy,True,True,2,105,46,float32,0,0,-0.9471041560173035,3.09079909324646,
DCM_21_WalkData_1_clip,HSMR-DCM_21_WalkData_1_clip.npy,21,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_WalkData_1_clip.npy,True,True,2,80,46,float32,0,0,-3.1176211833953857,3.135347604751587,
DCM_21_WalkData_2_clip,HSMR-DCM_21_WalkData_2_clip.npy,21,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_WalkData_2_clip.npy,True,True,2,144,46,float32,0,0,-0.9412307143211365,3.1280829906463623,
DCM_21_WalkData_3_clip,HSMR-DCM_21_WalkData_3_clip.npy,21,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_WalkData_3_clip.npy,True,True,2,198,46,float32,0,0,-3.133664846420288,3.140558958053589,
DCM_21_WalkData_4_clip,HSMR-DCM_21_WalkData_4_clip.npy,21,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_WalkData_4_clip.npy,True,True,2,116,46,float32,0,0,-3.1410534381866455,3.140430212020874,
DCM_21_WalkData_5_clip,HSMR-DCM_21_WalkData_5_clip.npy,21,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_21_WalkData_5_clip.npy,True,True,2,151,46,float32,0,0,-3.1049602031707764,3.137507915496826,
DCM_22_FastWalkData_1_clip,HSMR-DCM_22_FastWalkData_1_clip.npy,22,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_FastWalkData_1_clip.npy,True,True,2,478,46,float32,0,0,-3.141413688659668,3.1412594318389893,
DCM_22_FastWalkData_2_clip,HSMR-DCM_22_FastWalkData_2_clip.npy,22,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_FastWalkData_2_clip.npy,True,True,2,612,46,float32,0,0,-3.141547203063965,3.1414718627929688,
DCM_22_FastWalkData_3_clip,HSMR-DCM_22_FastWalkData_3_clip.npy,22,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_FastWalkData_3_clip.npy,True,True,2,585,46,float32,0,0,-3.141315221786499,3.141296863555908,
DCM_22_FastWalkData_4_clip,HSMR-DCM_22_FastWalkData_4_clip.npy,22,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_FastWalkData_4_clip.npy,True,True,2,614,46,float32,0,0,-3.141540288925171,3.141188859939575,
DCM_22_FastWalkData_5_clip,HSMR-DCM_22_FastWalkData_5_clip.npy,22,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_FastWalkData_5_clip.npy,True,True,2,562,46,float32,0,0,-0.9224786758422852,3.133574962615967,
DCM_22_WalkData_1_clip,HSMR-DCM_22_WalkData_1_clip.npy,22,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_1_clip.npy,True,True,2,500,46,float32,0,0,-3.1415464878082275,3.1414060592651367,
DCM_22_WalkData_2_clip,HSMR-DCM_22_WalkData_2_clip.npy,22,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_2_clip.npy,True,True,2,805,46,float32,0,0,-3.1412158012390137,3.1413955688476562,
DCM_22_WalkData_3_clip,HSMR-DCM_22_WalkData_3_clip.npy,22,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_3_clip.npy,True,True,2,840,46,float32,0,0,-3.141441583633423,3.1415059566497803,
DCM_22_WalkData_4_clip,HSMR-DCM_22_WalkData_4_clip.npy,22,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_4_clip.npy,True,True,2,596,46,float32,0,0,-3.141479015350342,3.1415441036224365,
DCM_22_WalkData_5_clip,HSMR-DCM_22_WalkData_5_clip.npy,22,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_5_clip.npy,True,True,2,630,46,float32,0,0,-3.141057252883911,3.1414594650268555,
DCM_22_WalkData_6_clip,HSMR-DCM_22_WalkData_6_clip.npy,22,WalkData,6,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_22_WalkData_6_clip.npy,True,True,2,539,46,float32,0,0,-3.141475200653076,3.141082763671875,
DCM_25_FastWalkData_1_clip,HSMR-DCM_25_FastWalkData_1_clip.npy,25,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_FastWalkData_1_clip.npy,True,True,2,138,46,float32,0,0,-0.9359697699546814,3.128091812133789,
DCM_25_FastWalkData_2_clip,HSMR-DCM_25_FastWalkData_2_clip.npy,25,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_FastWalkData_2_clip.npy,True,True,2,130,46,float32,0,0,-0.9611132740974426,3.094865560531616,
DCM_25_FastWalkData_3_clip,HSMR-DCM_25_FastWalkData_3_clip.npy,25,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_FastWalkData_3_clip.npy,True,True,2,135,46,float32,0,0,-3.1399199962615967,3.1367897987365723,
DCM_25_FastWalkData_4_clip,HSMR-DCM_25_FastWalkData_4_clip.npy,25,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_FastWalkData_4_clip.npy,True,True,2,136,46,float32,0,0,-3.1406261920928955,3.1404106616973877,
DCM_25_FastWalkData_5_clip,HSMR-DCM_25_FastWalkData_5_clip.npy,25,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_FastWalkData_5_clip.npy,True,True,2,115,46,float32,0,0,-3.1349356174468994,3.135219097137451,
DCM_25_WalkData_2_clip,HSMR-DCM_25_WalkData_2_clip.npy,25,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_WalkData_2_clip.npy,True,True,2,205,46,float32,0,0,-3.1415247917175293,3.138657331466675,
DCM_25_WalkData_3_clip,HSMR-DCM_25_WalkData_3_clip.npy,25,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_WalkData_3_clip.npy,True,True,2,184,46,float32,0,0,-3.141188859939575,3.141322135925293,
DCM_25_WalkData_4_clip,HSMR-DCM_25_WalkData_4_clip.npy,25,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_WalkData_4_clip.npy,True,True,2,155,46,float32,0,0,-3.1362063884735107,3.141050100326538,
DCM_25_WalkData_5_clip,HSMR-DCM_25_WalkData_5_clip.npy,25,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_WalkData_5_clip.npy,True,True,2,177,46,float32,0,0,-3.140765905380249,3.138511896133423,
DCM_25_WalkData_6_clip,HSMR-DCM_25_WalkData_6_clip.npy,25,WalkData,6,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_25_WalkData_6_clip.npy,True,True,2,198,46,float32,0,0,-2.57472825050354,3.1291797161102295,
DCM_29_FastWalkData_1_clip,HSMR-DCM_29_FastWalkData_1_clip.npy,29,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_FastWalkData_1_clip.npy,True,True,2,75,46,float32,0,0,-3.1335785388946533,3.140432834625244,
DCM_29_FastWalkData_2_clip,HSMR-DCM_29_FastWalkData_2_clip.npy,29,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_FastWalkData_2_clip.npy,True,True,2,103,46,float32,0,0,-0.9150852560997009,3.113339900970459,
DCM_29_FastWalkData_3_clip,HSMR-DCM_29_FastWalkData_3_clip.npy,29,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_FastWalkData_3_clip.npy,True,True,2,105,46,float32,0,0,-0.9153108596801758,3.1308703422546387,
DCM_29_FastWalkData_4_clip,HSMR-DCM_29_FastWalkData_4_clip.npy,29,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_FastWalkData_4_clip.npy,True,True,2,101,46,float32,0,0,-0.8998284935951233,3.1062376499176025,
DCM_29_FastWalkData_5_clip,HSMR-DCM_29_FastWalkData_5_clip.npy,29,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_FastWalkData_5_clip.npy,True,True,2,115,46,float32,0,0,-0.9158663153648376,3.126068592071533,
DCM_29_WalkData_1_clip,HSMR-DCM_29_WalkData_1_clip.npy,29,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_WalkData_1_clip.npy,True,True,2,176,46,float32,0,0,-3.141448497772217,3.141583204269409,
DCM_29_WalkData_2_clip,HSMR-DCM_29_WalkData_2_clip.npy,29,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_WalkData_2_clip.npy,True,True,2,147,46,float32,0,0,-3.141458511352539,3.1408493518829346,
DCM_29_WalkData_3_clip,HSMR-DCM_29_WalkData_3_clip.npy,29,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_WalkData_3_clip.npy,True,True,2,129,46,float32,0,0,-0.9248751401901245,3.119710922241211,
DCM_29_WalkData_4_clip,HSMR-DCM_29_WalkData_4_clip.npy,29,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_WalkData_4_clip.npy,True,True,2,135,46,float32,0,0,-0.9107668399810791,3.112189531326294,
DCM_29_WalkData_5_clip,HSMR-DCM_29_WalkData_5_clip.npy,29,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_29_WalkData_5_clip.npy,True,True,2,141,46,float32,0,0,-3.138822555541992,3.1412036418914795,
DCM_30_FastWalkData_1_clip,HSMR-DCM_30_FastWalkData_1_clip.npy,30,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_FastWalkData_1_clip.npy,True,True,2,106,46,float32,0,0,-3.1412041187286377,3.1409828662872314,
DCM_30_FastWalkData_2_clip,HSMR-DCM_30_FastWalkData_2_clip.npy,30,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_FastWalkData_2_clip.npy,True,True,2,108,46,float32,0,0,-3.141479969024658,3.1397275924682617,
